series,mass,rows,base_error,rc_error,forecast_error,merged_error,top_error,stack_error
HOBBIES_1_265,312.0,1140,312.7688730875383,312.7636580773516,312.5534063516459,312.7636580773516,312.7843605275991,312.4198282362105
HOBBIES_1_269,273.0,1140,271.66715500607893,271.5333543412988,271.54882314709437,271.5333543412988,271.67939373565446,269.99790801316163
HOBBIES_1_271,186.0,1140,186.1096047382282,186.10955039779518,186.00000010661134,186.10955039779518,186.10967849654116,186.00160012689958
HOBBIES_1_273,256.0,1140,248.9016091327881,248.1759817534831,248.90156672674073,248.1759817534831,248.19637058441901,243.82076855860208
HOBBIES_1_275,53.0,1140,51.09770820631623,51.02020398803478,51.15390064830451,51.02020398803478,51.02080789246277,51.02701522084348
HOBBIES_1_276,466.0,1140,471.54576345150576,471.17642931590035,471.2197053862535,471.17642931590035,471.9653218364829,469.50356160680775
HOBBIES_1_279,1153.0,1140,1057.128631050297,1053.1691506711318,1053.339399665125,1053.1691506711318,1059.6272613506922,1054.1927183715122
HOBBIES_1_281,850.0,1140,767.5198486840502,769.1486536889723,766.1147438660608,769.1486536889723,769.3176026423605,766.1766637724269
HOBBIES_1_282,733.0,1140,654.7693812178081,656.0158426815954,652.9107214812892,656.0158426815954,656.0145841712269,651.2527356489807
HOBBIES_1_283,320.0,1140,323.06396998914346,322.96793510992427,322.88802593677264,322.96793510992427,323.18187601620747,319.28328533794104
HOBBIES_1_285,135.0,1140,135.25254593921906,135.1441114084259,135.23306346907057,135.1441114084259,135.25254593921906,135.01767384693778
