series,mass,noq_error
29::117,30.6,14.184604099936802
29::118,10.4,2.4083858393466304
29::12,4.0,1.7881460639639875
29::122,26.2,7.1133255847281855
29::127,9.8,2.8233648294932117
29::136,6.6,1.9611359311671759
29::140,4.7,1.053712510180243
29::16,2.9,0.833191580554533
29::17,4.68,1.2149493822588333
29::18,8.5,3.7425028076105358
29::19,11.8,9.941203027604903
29::190,7.1,5.559433060151684
29::200,2.87,0.9708132374229093
29::201,6.65,3.5413767012058512
29::203,4.7,1.1419554256486126
29::207,14.5,2.10488484418757
29::212,5.09,1.5425700183414075
29::213,4.5,1.754227803483581
29::215,30.6,10.427933182315542
29::216,4.1,1.4022297214854271
29::219,4.7,0.5021312994169738
29::220,4.9,1.2264383372477279
29::228,6.13,1.570917288319016
29::23,9.2,2.6025151474766313
29::240,16.0,4.66126084952479
29::250,3.9699999999999998,0.6602370942247775
29::253,2.7,5.825096020722151
29::258,2.9,0.9042592911698186
29::259,2.9,0.8741665090987918
29::26,5.14,1.118272517336476
29::27,1.0,0.9677205457367312
29::290,7.0,1.678431362364381
29::291,4.28,1.8312731412099128
29::292,9.2,4.537079076850722
29::296,6.21,1.333263741533948
29::30,9.6,7.47073983791194
29::300,53.19,11.186956950357862
29::310,6.6000000000000005,1.7023016573665255
29::319,3.1,1.506016202612678
29::345,4.2,1.429756415903325
29::4,4.0,3.9897945814377405
29::41,6.2,6.430945619517431
29::410,1.9,1.5308948666964197
29::411,4.5,1.6965129320230523
29::414,5.0,1.0092657615760698
29::416,3.48,1.041321118329792
29::422,6.2,1.3403849579099776
29::426,5.9,2.0077654296353122
29::473,3.4,0.9579766184152386
29::486,16.7,1.8169800152309916
29::489,5.2,2.888549126317442
29::500,5.2,3.0736549363605974
29::509,4.7,2.9100378622736174
29::554,11.2,2.870667241554406
29::567,5.1,2.150915489069308
29::578,13.2,2.354812563085983
29::58,4.3,1.2433979837651785
29::580,23.8,3.2037961423801473
29::596,7.5,2.3286642676922957
29::6,10.5,3.376371448140885
29::60,2.9,1.3384369405750671
29::600,17.4,4.044839463094031
29::62,3.3,1.6263948641676669
29::628,3.3,1.3869492683824614
29::63,4.1,1.7500463238983286
29::631,6.7,1.650293287246234
29::633,3.3,1.0535153835286961
29::634,3.25,1.013677647202707
29::635,3.8,1.5957288225447674
29::638,5.5,1.5577507111177669
29::657,1.2,2.2491363977368795
29::663,1.2,0.6890040775932504
29::67,4.3,0.9820287223263444
29::670,3.2,0.6223649926402501
29::688,2.7,0.6915680783535758
29::691,47.2,10.403298974662132
29::699,5.2,0.8555169208467532
29::717,2.5,1.1555555174854555
29::719,2.7,1.0048191377904505
29::738,5.9,1.6558459438615523
29::74,3.4,1.144680412080286
29::740,8.4,2.000724543932664
29::745,4.0,1.7264726905267551
29::76,7.5,6.711174630328276
29::764,3.8000000000000003,2.319032159509316
29::765,2.62,1.0540786287067594
29::768,3.9,1.3697916678975308
29::769,9.3,2.782830306105607
29::774,10.4,4.2904406713559355
29::775,13.5,3.815218834036031
29::783,15.8,4.022210932262759
29::79,1.5,0.8571262949412365
29::793,7.1,4.419495270606719
29::796,23.3,2.3584331154636686
29::797,7.3,2.43031704986168
29::802,5.9,5.7778432211548
29::806,4.8,0.9231217797453846
29::810,17.9,3.6121247319927696
29::822,6.9,2.200600543188002
29::829,4.1,1.6962188773906153
29::834,19.6,4.936376045597995
29::843,3.87,1.0934605713443988
